name,nomenclature,family,abb,n,f,r,poolDesign,poolStandard,slaTry,heightTry,seedmassTry,abs1Design,pres1Design,estRate1Design,abs1Standard,pres1Standard,estRate1Standard,abs2,pres2,estRate2,abs3,pres3,estRate3
Achillea_millefolium,http://www.worldfloraonline.org/taxon/wfo-0000042097,Asteraceae,Achimille,5,4,NA,1,1,12.2926829267093,0.17,0.16,0,53,1,2,30,0.94,0,33,1,1,34,0.97
Agrostis_capillaris,http://www.worldfloraonline.org/taxon/wfo-0000841743,Poaceae,Agrocapi,4,NA,4,1,1,29.57,0.3,0.07,0,39,1,1,31,0.97,0,22,1,4,24,0.86
Alopecurus_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000845656,Poaceae,Alopprat,7,6,6,1,0,23,0.25,0.69,15,23,0.61,NA,NA,NA,6,18,0.75,11,15,0.58
Anthoxanthum_odoratum,http://www.worldfloraonline.org/taxon/wfo-0000848178,Poaceae,Anthodor,NA,NA,5,1,0,32.444773175,0.2,0.53,24,13,0.35,NA,NA,NA,16,9,0.36,23,6,0.21
Briza_media,http://www.worldfloraonline.org/taxon/wfo-0000854755,Poaceae,Brizmedi,2,NA,NA,1,0,21.3,0.1285,0.4,25,19,0.43,NA,NA,NA,15,9,0.38,3,26,0.9
Bromus_erectus,http://www.worldfloraonline.org/taxon/wfo-0000855493,Poaceae,Bromerec,3,3,8,1,0,17.4,0.3795,4.23,28,19,0.4,NA,NA,NA,22,8,0.27,4,32,0.89
Bromus_hordeaceus,http://www.worldfloraonline.org/taxon/wfo-0000855692,Poaceae,Bromhord,3,NA,NA,1,0,27.28,0.16,2.44,6,35,0.85,NA,NA,NA,2,29,0.94,0,27,1
Campanula_glomerata,http://www.worldfloraonline.org/taxon/wfo-0000827269,Campanulaceae,Campglom,4,5,8,1,0,24.2,0.25,0.13,2,51,0.96,NA,NA,NA,2,27,0.93,4,37,0.9
Campanula_patula,http://www.worldfloraonline.org/taxon/wfo-0000828061,Campanulaceae,Camppatu,5,5,7,1,0,51.61228400779325,0.4,0.02178,12,34,0.74,NA,NA,NA,9,23,0.72,6,27,0.82
Campanula_rotundifolia,http://www.worldfloraonline.org/taxon/wfo-0000828550,Campanulaceae,Camprotu,2,NA,NA,1,0,24.2,0.15,0.0615,16,35,0.69,NA,NA,NA,10,28,0.74,8,29,0.78
Cardamine_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000587355,Brassicaceae,Cardprat,NA,6,NA,1,0,18.2,0.315,0.6,13,42,0.76,NA,NA,NA,8,24,0.75,6,35,0.85
Carex_hirta,http://www.worldfloraonline.org/taxon/wfo-0000347452,Cyperaceae,Carehirt,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carex_spec,http://www.worldfloraonline.org/taxon/wfo-4000006709,Cyperaceae,Carespec,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centaurea_jacea,http://www.worldfloraonline.org/taxon/wfo-0000095537,Asteraceae,Centjace,NA,NA,NA,0,1,16.34,0.2635,1.064,NA,NA,NA,7,25,0.78,NA,NA,NA,NA,NA,NA
Crepis_biennis,http://www.worldfloraonline.org/taxon/wfo-0000061510,Asteraceae,Crepbien,5,6,6,1,0,29.9,0.8,1.23,30,15,0.33,NA,NA,NA,20,8,0.29,11,21,0.66
Cynosurus_cristatus,http://www.worldfloraonline.org/taxon/wfo-0000861316,Poaceae,Cynocris,4,5,NA,1,0,23.8,0.365,0.5,26,13,0.33,NA,NA,NA,16,5,0.24,4,31,0.89
Dactylis_glomerata,http://www.worldfloraonline.org/taxon/wfo-0000861498,Poaceae,Dactglom,NA,NA,NA,0,0,25.2,0.648,0.9299999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daucus_carota,http://www.worldfloraonline.org/taxon/wfo-0000638442,Apiaceae,Dauccaro,4,4,NA,1,1,17.189999999999998,0.576,1.0352,10,34,0.77,3,29,0.91,8,23,0.74,3,27,0.9
Festuca_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000871673,Poaceae,Festprat,NA,NA,NA,0,0,23.14,0.4,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Festuca_rubra,http://www.worldfloraonline.org/taxon/wfo-0000871854,Poaceae,Festrubr,NA,6,6,1,1,17.395,0.3,1,44,1,0.02,0,32,1,27,2,0.07,1,29,0.97
