name	plot	weight	weightRatio	presence	no	date	block	position	watering	seedmix	seetDensity	substrate	brickType	brickRatio	acid	grassMass	forbMass	vegCov4	vegCov6	vegCov8	vegCov10	vegCov11	vegCov13	extraspecNo	specPres	specAbs	estRate
Achillea_millefolium	A01	0.0048	0.002	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Agrostis_capillaris	A01	0.12	0.05	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Centaurea_jacea	A01	0.0048	0.002	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Daucus_carota	A01	0.0024	0.001	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Festuca_rubra	A01	1.08	0.45	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Festuca_trachyphylla	A01	0.7992	0.333	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Galium_verum	A01	0.0024	0.001	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Leontodon_hispidus	A01	0.0024	0.001	0	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Leucanthemum_vulgare	A01	0.0072	0.003	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Lolium_perenne	A01	0.12	0.05	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Lotus_corniculatus	A01	0.0048	0.002	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Medicago_lupulina	A01	0.0024	0.001	0	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Pimpinella_saxifraga	A01	0.0024	0.001	0	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Plantago_lanceolata	A01	0.0024	0.001	0	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Poa_pratensis	A01	0.24	0.1	1	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Sanguisorba_minor	A01	0.0024	0.001	0	1	NA	A	o	0.5	Standard	20	NA	Clean	30	Acid	12.1	4.8	35.1	47.8	50.1	67.8	68.4	68.4	0	11	5	0.6875
Achillea_millefolium	A02	0.0048	0.002	1	2	NA	A	o	0.5	Standard	20	NA	Clean	30	Control	10.1	3.5	17.5	43.6	26.3	27.6	53.8	45.6	1	12	4	0.75
Agrostis_capillaris	A02	0.12	0.05	1	2	NA	A	o	0.5	Standard	20	NA	Clean	30	Control	10.1	3.5	17.5	43.6	26.3	27.6	53.8	45.6	1	12	4	0.75
Centaurea_jacea	A02	0.0048	0.002	0	2	NA	A	o	0.5	Standard	20	NA	Clean	30	Control	10.1	3.5	17.5	43.6	26.3	27.6	53.8	45.6	1	12	4	0.75
Daucus_carota	A02	0.0024	0.001	1	2	NA	A	o	0.5	Standard	20	NA	Clean	30	Control	10.1	3.5	17.5	43.6	26.3	27.6	53.8	45.6	1	12	4	0.75
Festuca_rubra	A02	1.08	0.45	1	2	NA	A	o	0.5	Standard	20	NA	Clean	30	Control	10.1	3.5	17.5	43.6	26.3	27.6	53.8	45.6	1	12	4	0.75
Festuca_trachyphylla	A02	0.7992	0.333	1	2	NA	A	o	0.5	Standard	20	NA	Clean	30	Control	10.1	3.5	17.5	43.6	26.3	27.6	53.8	45.6	1	12	4	0.75
Galium_verum	A02	0.0024	0.001	1	2	NA	A	o	0.5	Standard	20	NA	Clean	30	Control	10.1	3.5	17.5	43.6	26.3	27.6	53.8	45.6	1	12	4	0.75
