no,plot,block,position,watering,seedmix,brickType,brickRatio,acid,grassMass,forbMass,vegCov4,vegCov6,vegCov8,vegCov10,vegCov11,vegCov13,specPres,specAbs,conf.low,conf.high,biomass,grassRatio,estRate,f.watering
5,A05,A,o,0.5,Robust,Clean,30,Acid,2.9,11.7,20.6,39.6,51.4,67.3,67.7,59.1,12,8,5,5,14.6,0.19863013698630136,0.6,Dry
7,A07,A,o,0.5,Robust,Clean,5,Acid,6.1,10.9,27.6,50.5,55.2,41,72.4,53.1,12,8,7,7,17,0.3588235294117647,0.6,Dry
13,A13,A,o,0.5,Vigorous,Clean,30,Acid,10.2,5.6,20.1,24.5,34.5,35.9,55.5,51,11,9,13,13,15.799999999999999,0.6455696202531646,0.55,Dry
15,A15,A,o,0.5,Vigorous,Clean,5,Acid,2.7,16.1,17.2,25.1,37.1,36.7,64.2,70.6,11,9,15,15,18.8,0.14361702127659576,0.55,Dry
17,Ae1,A,o,0.5,Robust,Demolition,30,Acid,2.8,8.7,12.3,26.9,28.3,25,47.7,48.1,10,10,17,17,11.5,0.2434782608695652,0.5,Dry
18,Ae2,A,o,0.5,Robust,Demolition,5,Acid,1.1,14.9,28,50.3,46,39,68.8,42.7,10,10,18,18,16,0.06875,0.5,Dry
19,Ae3,A,o,0.5,Vigorous,Demolition,30,Acid,12,2.8,23.4,32.6,29.9,28.1,42.2,35.3,10,10,19,19,14.8,0.8108108108108107,0.5,Dry
20,Ae4,A,o,0.5,Vigorous,Demolition,5,Acid,7.2,10.2,18.5,35.3,31.4,29.2,53.4,56.5,12,8,20,20,17.4,0.4137931034482759,0.6,Dry
25,B05,B,c,0.5,Robust,Clean,30,Acid,3.3,10.9,30.7,45.3,50.8,42.9,70.9,70,11,9,25,25,14.2,0.2323943661971831,0.55,Dry
27,B07,B,c,0.5,Robust,Clean,5,Acid,2.7,10.5,25.8,45.1,55,69.7,69.9,62.1,11,9,27,27,13.2,0.20454545454545456,0.55,Dry
33,B13,B,c,0.5,Vigorous,Clean,30,Acid,9.4,1.5,13.7,15.7,15.2,21.7,44.8,47.4,10,10,33,33,10.9,0.8623853211009175,0.5,Dry
35,B15,B,c,0.5,Vigorous,Clean,5,Acid,2.9,10.5,22.2,34.3,46.8,41.4,71.6,64.6,10,10,35,35,13.4,0.21641791044776118,0.5,Dry
37,Be1,B,c,0.5,Robust,Demolition,30,Acid,3.9,3.3,7.7,16.8,20.7,30.6,35.2,31.9,12,8,37,37,7.199999999999999,0.5416666666666667,0.6,Dry
38,Be2,B,c,0.5,Robust,Demolition,5,Acid,4.1,3.9,14.3,15.6,12,17.3,44.9,55,11,9,38,38,8,0.5125,0.55,Dry
39,Be3,B,c,0.5,Vigorous,Demolition,30,Acid,0.9,6.6,11.4,19.7,30.4,49.6,58.5,44.8,9,11,39,39,7.5,0.12000000000000001,0.45,Dry
40,Be4,B,c,0.5,Vigorous,Demolition,5,Acid,10.6,2,12.6,37.2,25.2,42.6,56.2,53.6,8,12,40,40,12.6,0.8412698412698413,0.4,Dry
