name,abs2D,pres2D,estRate2D,rounded2D,poolD,poolS
Helictotrichon_pubescens,33,1,0.029411765,0.03,1,0
Vicia_sepium,46,3,0.06122449,0.06,1,0
Festuca_rubra,27,2,0.068965517,0.07,1,1
Vicia_cracca,47,7,0.12962963,0.13,1,0
Medicago_lupulina,35,9,0.204545455,0.2,1,1
Cynosurus_cristatus,16,5,0.238095238,0.24,1,0
Leontodon_hispidus,15,5,0.25,0.25,1,1
Bromus_erectus,22,8,0.266666667,0.27,1,0
Crepis_biennis,20,8,0.285714286,0.29,1,0
Anthoxanthum_odoratum,16,9,0.36,0.36,1,0
Tragopogon_pratensis,19,11,0.366666667,0.37,1,0
Briza_media,15,9,0.375,0.38,1,0
Geranium_pratense,21,13,0.382352941,0.38,1,0
Onobrychis_viciifolia,21,24,0.533333333,0.53,1,0
Thymus_pulegioides,17,20,0.540540541,0.54,1,0
Veronica_chamaedrys,10,20,0.666666667,0.67,1,0
Campanula_patula,9,23,0.71875,0.72,1,0
Plantago_lanceolata,8,22,0.733333333,0.73,1,1
Campanula_rotundifolia,10,28,0.736842105,0.74,1,0
Daucus_carota,8,23,0.741935484,0.74,1,1
Alopecurus_pratensis,6,18,0.75,0.75,1,0
Cardamine_pratensis,8,24,0.75,0.75,1,0
Poa_angustifolia,7,21,0.75,0.75,1,0
Silene_dioica,6,22,0.785714286,0.79,1,0
Prunella_vulgaris,6,23,0.793103448,0.79,1,0
Hypochaeris_radicata,6,25,0.806451613,0.81,1,0
Plantago_media,5,25,0.833333333,0.83,1,0
Galium_album,4,25,0.862068966,0.86,1,0
Trisetum_flavescens,4,27,0.870967742,0.87,1,0
Leucanthemum_vulgare,3,27,0.9,0.9,1,1
Campanula_glomerata,2,27,0.931034483,0.93,1,0
Bromus_hordeaceus,2,29,0.935483871,0.94,1,0
Silene_flos-cuculi,1,26,0.962962963,0.96,1,0
Achillea_millefolium,0,33,1,1,1,1
Agrostis_capillaris,0,22,1,1,1,1
Luzula_campestris,31,NA,NA,NA,1,0
Primula_veris,33,NA,NA,NA,1,0
Phleum_pratense,21,NA,NA,NA,1,0
Saxifraga_granulata,27,NA,NA,NA,1,0
