plot,brickRatio,texture,compaction,coal,biomass,specPres,specAbs,conf.low,conf.high,estRate
X1,30,Sand,Compaction,Control,5.3,14,6,1,1,0.7
X2,30,Sand,Compaction,Control,13.01,16,4,2,2,0.8
X4,30,Sand,Compaction,Coal,10.98,13,7,3,3,0.65
X6,30,Sand,Compaction,Coal,16.41,14,6,4,4,0.7
X7,30,Sand,Control,Coal,5.7,11,9,5,5,0.55
X8,30,Sand,Control,Coal,13.55,14,6,6,6,0.7
X10,30,Sand,Control,Control,5.99,11,9,7,7,0.55
X11,30,Sand,Control,Control,7.04,15,5,8,8,0.75
X13,30,Loam,Compaction,Control,7.15,14,6,9,9,0.7
X14,30,Loam,Compaction,Control,14.7,16,4,10,10,0.8
X15,30,Loam,Compaction,Control,5.46,6,14,11,11,0.3
X19,30,Loam,Control,Coal,7.58,14,6,12,12,0.7
X20,30,Loam,Control,Coal,10.27,15,5,13,13,0.75
X22,30,Loam,Control,Control,10.53,13,7,14,14,0.65
X26,30,Medium,Compaction,Control,6.34,11,9,15,15,0.55
X27,30,Medium,Compaction,Control,4.52,14,6,16,16,0.7
X29,30,Medium,Compaction,Coal,2.83,15,5,17,17,0.75
X32,30,Medium,Control,Coal,17.19,13,7,18,18,0.65
X35,30,Medium,Control,Control,7.31,8,12,19,19,0.4
X38,5,Sand,Compaction,Control,11.03,12,8,20,20,0.6
X41,5,Sand,Compaction,Coal,16.33,16,4,21,21,0.8
X46,5,Medium,Control,Coal,9.44,15,5,22,22,0.75
X47,5,Sand,Control,Control,7.02,14,6,23,23,0.7
X49,5,Sand,Control,Control,11.29,13,7,24,24,0.65
X50,5,Loam,Compaction,Control,3.52,13,7,25,25,0.65
X53,5,Loam,Compaction,Coal,4.87,13,7,26,26,0.65
X55,5,Loam,Compaction,Coal,3.67,16,4,27,27,0.8
X56,5,Loam,Control,Coal,12.3,15,5,28,28,0.75
X57,5,Loam,Control,Coal,9.85,16,4,29,29,0.8
X59,5,Loam,Control,Control,11.83,15,5,30,30,0.75
X60,5,Loam,Control,Control,7.51,13,7,31,31,0.65
X61,5,Loam,Control,Control,8.27,16,4,32,32,0.8
X62,5,Medium,Compaction,Control,3.05,16,4,33,33,0.8
X64,5,Medium,Compaction,Control,4.54,9,11,34,34,0.45
X68,5,Sand,Control,Coal,3.97,16,4,35,35,0.8
X69,5,Sand,Control,Coal,12.23,15,5,36,36,0.75
X71,5,Medium,Control,Control,14.32,16,4,37,37,0.8
X3,30,Sand,Compaction,Control,9.54,16,4,38,38,0.8
X5,30,Sand,Compaction,Coal,12.97,15,5,39,39,0.75
X9,30,Sand,Control,Coal,10.72,12,8,40,40,0.6
X12,30,Sand,Control,Control,14.74,14,6,41,41,0.7
X16,30,Loam,Compaction,Coal,2.28,14,6,42,42,0.7
X17,30,Loam,Compaction,Coal,5.47,9,11,43,43,0.45
X18,30,Loam,Compaction,Coal,5.02,17,3,44,44,0.85
X21,30,Loam,Control,Coal,6.91,11,9,45,45,0.55
X23,30,Loam,Control,Control,6.63,12,8,46,46,0.6
X24,30,Loam,Control,Control,10.91,12,8,47,47,0.6
X25,30,Medium,Compaction,Control,8.9,12,8,48,48,0.6
X28,5,Medium,Control,Control,12.67,12,8,49,49,0.6
X30,30,Medium,Compaction,Coal,7.28,16,4,50,50,0.8
X31,30,Medium,Compaction,Coal,6.01,13,7,51,51,0.65
X33,30,Medium,Control,Coal,14.02,13,7,52,52,0.65
X34,30,Medium,Control,Coal,15.85,14,6,53,53,0.7
X36,30,Medium,Control,Control,5.98,11,9,54,54,0.55
X37,30,Medium,Control,Control,12.64,12,8,55,55,0.6
X39,5,Sand,Compaction,Control,5.36,16,4,56,56,0.8
X40,5,Sand,Compaction,Control,9.34,12,8,57,57,0.6
X42,5,Sand,Compaction,Coal,9.12,11,9,58,58,0.55
X43,5,Sand,Compaction,Coal,7.07,13,7,59,59,0.65
X44,5,Sand,Control,Coal,10.8,14,6,60,60,0.7
X45,5,Medium,Control,Coal,17.36,17,3,61,61,0.85
X48,5,Sand,Control,Control,13.66,12,8,62,62,0.6
X51,5,Loam,Compaction,Control,1.94,7,13,63,63,0.35
X52,5,Loam,Compaction,Control,4.67,16,4,64,64,0.8
X54,5,Loam,Compaction,Coal,2.62,10,10,65,65,0.5
X58,5,Loam,Control,Coal,9.11,17,3,66,66,0.85
X63,5,Medium,Compaction,Control,7.84,11,9,67,67,0.55
X65,5,Medium,Compaction,Coal,4.95,14,6,68,68,0.7
X66,5,Medium,Compaction,Coal,4.96,10,10,69,69,0.5
X67,5,Medium,Compaction,Coal,3.21,15,5,70,70,0.75
X70,5,Medium,Control,Coal,6.61,13,7,71,71,0.65
X72,5,Medium,Control,Control,7.4,14,6,72,72,0.7
