name,abs,pres,estRatio,rounded
Saxifraga_granulata,32,0,0,0
Luzula_campestris,36,0,0,0
Vicia_sepium,54,3,0.052631579,0.05
Anthoxanthum_odoratum,23,6,0.206896552,0.21
Galium_album,26,8,0.235294118,0.24
Vicia_cracca,37,13,0.26,0.26
Tragopogon_pratensis,19,14,0.424242424,0.42
Hypochaeris_radicata,16,16,0.5,0.5
Onobrychis_viciifolia,26,28,0.518518519,0.52
Prunella_vulgaris,20,22,0.523809524,0.52
Geranium_pratense,14,19,0.575757576,0.58
Alopecurus_pratensis,11,15,0.576923077,0.58
Crepis_biennis,11,21,0.65625,0.66
Helictotrichon_pubescens,7,22,0.75862069,0.76
Leontodon_hispidus,8,27,0.771428571,0.77
Silene_flos-cuculi,7,25,0.78125,0.78
Campanula_rotundifolia,8,29,0.783783784,0.78
Veronica_chamaedrys,7,27,0.794117647,0.79
Campanula_patula,6,27,0.818181818,0.82
Cardamine_pratensis,6,35,0.853658537,0.85
Agrostis_capillaris,4,24,0.857142857,0.86
Thymus_pulegioides,4,30,0.882352941,0.88
Silene_dioica,5,38,0.88372093,0.88
Plantago_media,3,23,0.884615385,0.88
Cynosurus_cristatus,4,31,0.885714286,0.89
Bromus_erectus,4,32,0.888888889,0.89
Leucanthemum_vulgare,4,33,0.891891892,0.89
Briza_media,3,26,0.896551724,0.9
Daucus_carota,3,27,0.9,0.9
Campanula_glomerata,4,37,0.902439024,0.9
Primula_veris,3,29,0.90625,0.91
Plantago_lanceolata,3,29,0.90625,0.91
Poa_angustifolia,2,26,0.928571429,0.93
Trisetum_flavescens,2,30,0.9375,0.94
Medicago_lupulina,3,52,0.945454545,0.95
Festuca_rubra,1,29,0.966666667,0.97
Phleum_pratense,1,30,0.967741935,0.97
Achillea_millefolium,1,34,0.971428571,0.97
Bromus_hordeaceus,0,27,1,1
