no	plot	block	watering	brickType	seedmix	seetDensity	brickRatio	acid	grassMass	forbMass	specPres	specAbs	estRate	conf.low	conf.high	biomass	grassRatio	f.watering
1	A01	A	0.5	Clean	Standard	20	30	Acid	12.1	4.8	11	5	0.6875	1	1	16.9	0.72	Dry
2	A02	A	0.5	Clean	Standard	20	30	Control	10.1	3.5	12	4	0.75	2	2	13.6	0.74	Dry
3	A03	A	0.5	Clean	Standard	20	5	Acid	11	4.1	12	4	0.75	3	3	15.1	0.73	Dry
4	A04	A	0.5	Clean	Standard	20	5	Control	20.3	2.1	12	4	0.75	4	4	22.4	0.91	Dry
5	A05	A	0.5	Clean	Robust	4	30	Acid	2.9	11.7	12	8	0.6	5	5	14.6	0.20	Dry
6	A06	A	0.5	Clean	Robust	4	30	Control	1.9	10.0	11	9	0.55	6	6	11.9	0.16	Dry
7	A07	A	0.5	Clean	Robust	4	5	Acid	6.1	10.9	12	8	0.6	7	7	17	0.36	Dry
8	A08	A	0.5	Clean	Robust	4	5	Control	5.6	10.9	13	7	0.65	8	8	16.5	0.34	Dry
9	A09	A	0.5	Clean	Intermediate	4	30	Acid	8.3	12.0	10	10	0.5	9	9	20.3	0.41	Dry
10	A10	A	0.5	Clean	Intermediate	4	30	Control	14.8	3.0	10	10	0.5	10	10	17.8	0.83	Dry
11	A11	A	0.5	Clean	Intermediate	4	5	Acid	6.5	11.7	11	9	0.55	11	11	18.2	0.36	Dry
12	A12	A	0.5	Clean	Intermediate	4	5	Control	9.7	10.7	15	5	0.75	12	12	20.4	0.48	Dry
13	A13	A	0.5	Clean	Vigorous	4	30	Acid	10.2	5.6	11	9	0.55	13	13	15.8	0.65	Dry
14	A14	A	0.5	Clean	Vigorous	4	30	Control	6.1	15.7	7	13	0.35	14	14	21.8	0.28	Dry
15	A15	A	0.5	Clean	Vigorous	4	5	Acid	2.7	16.1	11	9	0.55	15	15	18.8	0.14	Dry
16	A16	A	0.5	Clean	Vigorous	4	5	Control	14.5	12.7	10	10	0.5	16	16	27.2	0.53	Dry
17	Ae1	A	0.5	Demolition	Robust	4	30	Acid	2.8	8.7	10	10	0.5	17	17	11.5	0.24	Dry
18	Ae2	A	0.5	Demolition	Robust	4	5	Acid	1.1	14.9	10	10	0.5	18	18	16	0.07	Dry
19	Ae3	A	0.5	Demolition	Vigorous	4	30	Acid	12	2.8	10	10	0.5	19	19	14.8	0.81	Dry
20	Ae4	A	0.5	Demolition	Vigorous	4	5	Acid	7.2	10.2	12	8	0.6	20	20	17.4	0.41	Dry
21	B01	B	0.5	Clean	Standard	20	30	Acid	13.2	3.0	14	2	0.875	21	21	16.2	0.81	Dry
22	B02	B	0.5	Clean	Standard	20	30	Control	13.2	2.7	14	2	0.875	22	22	15.9	0.83	Dry
23	B03	B	0.5	Clean	Standard	20	5	Acid	15.3	3.2	11	5	0.6875	23	23	18.5	0.83	Dry
24	B04	B	0.5	Clean	Standard	20	5	Control	13.2	1.2	10	6	0.625	24	24	14.4	0.92	Dry
25	B05	B	0.5	Clean	Robust	4	30	Acid	3.3	10.9	11	9	0.55	25	25	14.2	0.23	Dry
26	B06	B	0.5	Clean	Robust	4	30	Control	1.4	10.9	13	7	0.65	26	26	12.3	0.11	Dry
27	B07	B	0.5	Clean	Robust	4	5	Acid	2.7	10.5	11	9	0.55	27	27	13.2	0.20	Dry
28	B08	B	0.5	Clean	Robust	4	5	Control	6	7.2	12	8	0.6	28	28	13.2	0.45	Dry
29	B09	B	0.5	Clean	Intermediate	4	30	Acid	6	8.9	11	9	0.55	29	29	14.9	0.40	Dry
30	B10	B	0.5	Clean	Intermediate	4	30	Control	4.7	9.1	12	8	0.6	30	30	13.8	0.34	Dry
31	B11	B	0.5	Clean	Intermediate	4	5	Acid	4.2	10.8	12	8	0.6	31	31	15	0.28	Dry
32	B12	B	0.5	Clean	Intermediate	4	5	Control	5.1	6.7	8	12	0.4	32	32	11.8	0.43	Dry
33	B13	B	0.5	Clean	Vigorous	4	30	Acid	9.4	1.5	10	10	0.5	33	33	10.9	0.86	Dry
34	B14	B	0.5	Clean	Vigorous	4	30	Control	14.6	0.8	10	10	0.5	34	34	15.4	0.95	Dry
