no,plot,date,block,position,watering,seedmix,seedDensity,substrate,brickType,brickRatio,acid,grassMass,forbMass,vegCov4,vegCov6,vegCov8,vegCov10,vegCov11,vegCov13,extraspecNo,specPres,specAbs
1,A01,2019-09-03,A,o,0.5,Standard,20,substrate_7,Clean,30,Acid,12.1,4.8,35.1,47.8,50.1,67.8,68.4,68.4,0,11,5
2,A02,2019-09-03,A,o,0.5,Standard,20,substrate_9,Clean,30,Control,10.1,3.5,17.5,43.6,26.3,27.6,53.8,45.6,1,12,4
3,A03,2019-09-03,A,o,0.5,Standard,20,substrate_8,Clean,5,Acid,11,4.1,29.7,41.1,47.1,39.1,63.3,63.2,0,12,4
4,A04,2019-09-03,A,o,0.5,Standard,20,substrate_10,Clean,5,Control,20.3,2.1,23.3,44.9,15.9,40.9,61.6,60.4,0,12,4
5,A05,2019-09-03,A,o,0.5,Robust,4,substrate_7,Clean,30,Acid,2.9,11.7,20.6,39.6,51.4,67.3,67.7,59.1,3,12,8
6,A06,2019-09-03,A,o,0.5,Robust,4,substrate_9,Clean,30,Control,1.9,10,18.1,36.8,39.2,30,55.6,55.5,1,11,9
7,A07,2019-09-03,A,o,0.5,Robust,4,substrate_8,Clean,5,Acid,6.1,10.9,27.6,50.5,55.2,41,72.4,53.1,1,12,8
8,A08,2019-09-03,A,o,0.5,Robust,4,substrate_10,Clean,5,Control,5.6,10.9,9.4,21.6,22.4,23.5,53.3,57.2,0,13,7
9,A09,2019-09-03,A,o,0.5,Intermediate,4,substrate_7,Clean,30,Acid,8.3,12,12.4,29.5,31.8,33.5,56,53,2,10,10
10,A10,2019-09-03,A,o,0.5,Intermediate,4,substrate_9,Clean,30,Control,14.8,3,12.7,25.2,27.7,30.2,49.6,55.8,1,10,10
11,A11,2019-09-03,A,o,0.5,Intermediate,4,substrate_8,Clean,5,Acid,6.5,11.7,16.1,31.5,40.8,38.7,64,69,4,11,9
12,A12,2019-09-03,A,o,0.5,Intermediate,4,substrate_10,Clean,5,Control,9.7,10.7,7.6,27.2,20.2,21.5,51.7,47.6,1,15,5
13,A13,2019-09-03,A,o,0.5,Vigorous,4,substrate_7,Clean,30,Acid,10.2,5.6,20.1,24.5,34.5,35.9,55.5,51,1,11,9
14,A14,2019-09-03,A,o,0.5,Vigorous,4,substrate_9,Clean,30,Control,6.1,15.7,14.2,17.3,28.4,31.5,60.2,32.5,0,7,13
15,A15,2019-09-03,A,o,0.5,Vigorous,4,substrate_8,Clean,5,Acid,2.7,16.1,17.2,25.1,37.1,36.7,64.2,70.6,1,11,9
16,A16,2019-09-03,A,o,0.5,Vigorous,4,substrate_10,Clean,5,Control,14.5,12.7,7.6,25.7,27.2,28.1,62.1,52.3,2,10,10
17,Ae1,2019-09-03,A,o,0.5,Robust,4,substrate_11,Demolition,30,Acid,2.8,8.7,12.3,26.9,28.3,25,47.7,48.1,1,10,10
18,Ae2,2019-09-03,A,o,0.5,Robust,4,substrate_12,Demolition,5,Acid,1.1,14.9,28,50.3,46,39,68.8,42.7,1,10,10
19,Ae3,2019-09-03,A,o,0.5,Vigorous,4,substrate_11,Demolition,30,Acid,12,2.8,23.4,32.6,29.9,28.1,42.2,35.3,0,10,10
20,Ae4,2019-09-03,A,o,0.5,Vigorous,4,substrate_12,Demolition,5,Acid,7.2,10.2,18.5,35.3,31.4,29.2,53.4,56.5,0,12,8
21,B01,2019-09-03,B,c,0.5,Standard,20,substrate_7,Clean,30,Acid,13.2,3,30.2,47,49.8,63.9,64.1,62.5,1,14,2
22,B02,2019-09-03,B,c,0.5,Standard,20,substrate_9,Clean,30,Control,13.2,2.7,27.2,41,34.5,67.2,75.6,61.7,0,14,2
23,B03,2019-09-03,B,c,0.5,Standard,20,substrate_8,Clean,5,Acid,15.3,3.2,41.4,41.1,52.7,44.5,66.8,63.5,0,11,5
24,B04,2019-09-03,B,c,0.5,Standard,20,substrate_10,Clean,5,Control,13.2,1.2,24.1,54.7,17.2,37.3,66.7,50.9,0,10,6
25,B05,2019-09-03,B,c,0.5,Robust,4,substrate_7,Clean,30,Acid,3.3,10.9,30.7,45.3,50.8,42.9,70.9,70,1,11,9
26,B06,2019-09-03,B,c,0.5,Robust,4,substrate_9,Clean,30,Control,1.4,10.9,34.3,60.3,73.7,81.6,87.1,71,2,13,7
27,B07,2019-09-03,B,c,0.5,Robust,4,substrate_8,Clean,5,Acid,2.7,10.5,25.8,45.1,55,69.7,69.9,62.1,2,11,9
28,B08,2019-09-03,B,c,0.5,Robust,4,substrate_10,Clean,5,Control,6,7.2,21.7,28.2,45.1,35.4,69.5,65,1,12,8
29,B09,2019-09-03,B,c,0.5,Intermediate,4,substrate_7,Clean,30,Acid,6,8.9,26.6,38.9,53.2,66.6,76.9,70.1,1,11,9
30,B10,2019-09-03,B,c,0.5,Intermediate,4,substrate_9,Clean,30,Control,4.7,9.1,17.2,36,44.9,34.3,67.5,67.3,1,12,8
31,B11,2019-09-03,B,c,0.5,Intermediate,4,substrate_8,Clean,5,Acid,4.2,10.8,31.3,32.9,40.9,39.6,67.2,52.7,2,12,8
32,B12,2019-09-03,B,c,0.5,Intermediate,4,substrate_10,Clean,5,Control,5.1,6.7,7.2,27,27.2,50.8,60,50.5,2,8,12
