name,family,abb,poolD,abs1D,pres1D,estRate1D,abs2D,pres2D,estRate2D,poolS,abs1S,pres1S,estRate1S
Achillea_millefolium,Asteraceae,Achimille,1,0,53,1,0,13,1,1,2,30,0.94
Agrostis_capillaris,Poaceae,Agrocapi,1,0,39,1,0,9,1,1,1,31,0.97
Alopecurus_pratensis,Poaceae,Alopprat,1,15,23,0.61,3,13,0.81,0,na,na,na
Anthoxanthum_odoratum,Poaceae,Anthodor,1,24,13,0.35,8,6,0.43,0,na,na,na
Briza_media,Poaceae,Brizmedi,1,25,19,0.43,10,2,0.17,0,na,na,na
Bromus_erectus,Poaceae,Bromerec,1,28,19,0.4,11,3,0.21,0,na,na,na
Bromus_hordeaceus,Poaceae,Bromhord,1,6,35,0.85,1,16,0.94,0,na,na,na
Campanula_glomerata,Campanulaceae,Campglom,1,2,51,0.96,2,14,0.88,0,na,na,na
Campanula_patula,Campanulaceae,Camppatu,1,12,34,0.74,4,10,0.71,0,na,na,na
Campanula_rotundifolia,Campanulaceae,Camprotu,1,16,35,0.69,4,12,0.75,0,na,na,na
Cardamine_pratensis,Brassicaceae,Cardprat,1,13,42,0.76,5,10,0.67,0,na,na,na
Carex_hirta,Cyperaceae,Carehirt,0,na,na,na,na,na,na,0,na,na,na
Carex_spec,Cyperaceae,Carespec,0,na,na,na,na,na,na,0,na,na,na
Centaurea_jacea,Asteraceae,Centjace,0,na,na,na,na,na,na,1,7,25,0.78
Crepis_biennis,Asteraceae,Crepbien,1,30,15,0.33,7,5,0.42,0,na,na,na
Cynosurus_cristatus,Poaceae,Cynocris,1,26,13,0.33,4,4,0.5,0,na,na,na
Dactylis_glomerata,Poaceae,Dactglom,0,na,na,na,na,na,na,0,na,na,na
Daucus_carota,Apiaceae,Dauccaro,1,10,34,0.77,5,13,0.72,1,3,29,0.91
Festuca_pratensis,Poaceae,Festprat,0,na,na,na,na,na,na,0,na,na,na
Festuca_rubra,Poaceae,Festrubr,1,44,1,0.02,9,1,0.1,1,0,32,1
Festuca_trachyphylla,Poaceae,Festtrac,0,na,na,na,na,na,na,1,0,32,1
Fragaria_vesca,Rosaceae,Fragvesc,0,na,na,na,na,na,na,0,na,na,na
Galium_album,Rubiaceae,Galialbu,1,7,34,0.83,2,15,0.88,0,na,na,na
Galium_verum,Rubiaceae,Galiveru,0,na,na,na,na,na,na,1,13,19,0.59
Geranium_pratense,Geraniaceae,Geraprat,1,38,10,0.21,10,8,0.44,0,na,na,na
Helictotrichon_pubescens,Poaceae,Helipube,1,37,3,0.07,16,1,0.06,0,na,na,na
Holcus_lanatus,Poaceae,Holclana,0,na,na,na,na,na,na,0,na,na,na
Hypochaeris_radicata,Asteraceae,Hyporadi,1,19,22,0.54,1,16,0.94,0,na,na,na
Juncus_spec,Juncaceae,Juncspec,0,na,na,na,na,na,na,0,na,na,na
Leontodon_hispidus,Asteraceae,Leonhisp,1,21,20,0.49,7,3,0.3,1,28,4,0.12
Leucanthemum_vulgare,Asteraceae,Leucvulg,1,6,41,0.87,2,13,0.87,1,0,32,1
Lolium_multiflorum,Poaceae,Lolimult,0,na,na,na,na,na,na,0,na,na,na
Lolium_perenne,Poaceae,Lolipere,0,na,na,na,na,na,na,1,1,31,0.97
Lotus_corniculatus,Fabaceae,Lotucorn,0,na,na,na,na,na,na,1,3,29,0.91
Luzula_campestris,Juncaceae,Luzucamp,1,58,0,0,14,0,0,0,na,na,na
Medicago_lupulina,Fabaceae,Medilupu,1,57,14,0.2,18,4,0.18,1,25,7,0.22
Onobrychis_viciifolia,Fabaceae,Onobvici,1,36,35,0.49,11,13,0.54,0,na,na,na
Phleum_pratense,Poaceae,Phleprat,1,34,0,0,13,0,0,0,na,na,na
Pimpinella_saxifraga,Apiaceae,Pimpsaxi,0,na,na,na,na,na,na,1,31,1,0.03
Plantago_lanceolata,Plantaginaceae,Planlanc,1,10,30,0.75,5,12,0.71,1,5,27,0.84
Plantago_media,Plantaginaceae,Planmedi,1,3,40,0.93,4,12,0.75,0,na,na,na
Poa_angustifolia,Poaceae,Poaangu,1,8,29,0.78,3,12,0.8,0,na,na,na
Poa_pratensis,Poaceae,Poaprat,0,na,na,na,na,na,na,1,1,31,0.97
Potentilla_reptans,Rosaceae,Poterept,0,na,na,na,na,na,na,0,na,na,na
Primula_veris,Primulaceae,Primveri,1,45,0,0,17,0,0,0,na,na,na
Prunella_vulgaris,Lamiaceae,Prunvulg,1,8,37,0.82,2,13,0.87,0,na,na,na
Ranunculus_acris,Ranunculaceae,Ranuacri,1,10,32,0.76,14,9,0.39,0,na,na,na
Ranunculus_bulbosus,Ranunculaceae,Ranubulb,1,23,27,0.54,9,5,0.36,0,na,na,na
Ranunculus_spec,Ranunculaceae,Ranuspec,1,NA,NA,NA,NA,NA,NA,0,na,na,na
Sanguisorba_minor,Rosaceae,Sangmino,0,na,na,na,na,na,na,1,20,12,0.38
Saxifraga_granulata,Saxifragaceae,Saxigran,1,49,2,0.04,12,0,0,0,na,na,na
Silene_dioica,Caryophyllaceae,Siledioi,1,15,28,0.65,1,11,0.92,0,na,na,na
Silene_flos-cuculi,Caryophyllaceae,Sileflos,1,0,35,1,1,14,0.93,0,na,na,na
Taraxacum_spec,Asteraceae,Taraspec,0,na,na,na,na,na,na,0,na,na,na
Thymus_pulegioides,Lamiaceae,Thympule,1,16,28,0.64,8,13,0.62,0,na,na,na
