name,plot,weight,weightRatio,presence
Achillea_millefolium,A01,0.0048,0.002,1
Agrostis_capillaris,A01,0.12,0.05,1
Centaurea_jacea,A01,0.0048,0.002,1
Daucus_carota,A01,0.0024,0.001,1
Festuca_rubra,A01,1.08,0.45,1
Festuca_trachyphylla,A01,0.7992,0.333,1
Galium_verum,A01,0.0024,0.001,1
Leontodon_hispidus,A01,0.0024,0.001,0
Leucanthemum_vulgare,A01,0.0072,0.003,1
Lolium_perenne,A01,0.12,0.05,1
Lotus_corniculatus,A01,0.0048,0.002,1
Medicago_lupulina,A01,0.0024,0.001,0
Pimpinella_saxifraga,A01,0.0024,0.001,0
Plantago_lanceolata,A01,0.0024,0.001,0
Poa_pratensis,A01,0.24,0.1,1
Sanguisorba_minor,A01,0.0024,0.001,0
Achillea_millefolium,A02,0.0048,0.002,1
Agrostis_capillaris,A02,0.12,0.05,1
Centaurea_jacea,A02,0.0048,0.002,0
Daucus_carota,A02,0.0024,0.001,1
Festuca_rubra,A02,1.08,0.45,1
Festuca_trachyphylla,A02,0.7992,0.333,1
Galium_verum,A02,0.0024,0.001,1
Leontodon_hispidus,A02,0.0024,0.001,0
Leucanthemum_vulgare,A02,0.0072,0.003,1
Lolium_perenne,A02,0.12,0.05,1
Lotus_corniculatus,A02,0.0048,0.002,1
Medicago_lupulina,A02,0.0024,0.001,0
Pimpinella_saxifraga,A02,0.0024,0.001,0
Plantago_lanceolata,A02,0.0024,0.001,1
Poa_pratensis,A02,0.24,0.1,1
Sanguisorba_minor,A02,0.0024,0.001,1
Achillea_millefolium,A03,0.0048,0.002,1
Agrostis_capillaris,A03,0.12,0.05,1
Centaurea_jacea,A03,0.0048,0.002,1
Daucus_carota,A03,0.0024,0.001,1
Festuca_rubra,A03,1.08,0.45,1
Festuca_trachyphylla,A03,0.7992,0.333,1
Galium_verum,A03,0.0024,0.001,1
Leontodon_hispidus,A03,0.0024,0.001,0
Leucanthemum_vulgare,A03,0.0072,0.003,1
Lolium_perenne,A03,0.12,0.05,1
Lotus_corniculatus,A03,0.0048,0.002,0
Medicago_lupulina,A03,0.0024,0.001,0
Pimpinella_saxifraga,A03,0.0024,0.001,1
Plantago_lanceolata,A03,0.0024,0.001,1
Poa_pratensis,A03,0.24,0.1,1
Sanguisorba_minor,A03,0.0024,0.001,0
Achillea_millefolium,A04,0.0048,0.002,1
Agrostis_capillaris,A04,0.12,0.05,1
Centaurea_jacea,A04,0.0048,0.002,1
Daucus_carota,A04,0.0024,0.001,0
Festuca_rubra,A04,1.08,0.45,1
Festuca_trachyphylla,A04,0.7992,0.333,1
Galium_verum,A04,0.0024,0.001,0
Leontodon_hispidus,A04,0.0024,0.001,1
Leucanthemum_vulgare,A04,0.0072,0.003,1
Lolium_perenne,A04,0.12,0.05,1
Lotus_corniculatus,A04,0.0048,0.002,1
Medicago_lupulina,A04,0.0024,0.001,1
Pimpinella_saxifraga,A04,0.0024,0.001,0
Plantago_lanceolata,A04,0.0024,0.001,1
Poa_pratensis,A04,0.24,0.1,1
Sanguisorba_minor,A04,0.0024,0.001,0
Achillea_millefolium,A05,0.03,0.057,1
Alopecurus_pratensis,A05,0.01,0.025,1
Bromus_erectus,A05,0.06,0.134,0
Campanula_patula,A05,0.02,0.035,1
Cardamine_pratensis,A05,0.02,0.05,1
Daucus_carota,A05,0.02,0.05,1
Festuca_rubra,A05,0.02,0.044,0
Helictotrichon_pubescens,A05,0.02,0.034,0
Hypochaeris_radicata,A05,0.01,0.011,1
Leontodon_hispidus,A05,0.02,0.036,1
Luzula_campestris,A05,0.01,0.019,0
Onobrychis_viciifolia,A05,0.05,0.101,0
Plantago_media,A05,0.03,0.053,1
Poa_angustifolia,A05,0.03,0.062,1
Primula_veris,A05,0.06,0.116,0
Prunella_vulgaris,A05,0.01,0.025,1
Ranunculus_bulbosus,A05,0.04,0.075,1
Veronica_chamaedrys,A05,0.01,0.024,1
Vicia_cracca,A05,0.02,0.033,0
Vicia_sepium,A05,0.01,0.017,0
Achillea_millefolium,A06,0.02,0.047,1
Anthoxanthum_odoratum,A06,0.01,0.02,0
Briza_media,A06,0.02,0.038,0
Campanula_patula,A06,0,0.005,1
Cynosurus_cristatus,A06,0.02,0.033,0
Festuca_rubra,A06,0.05,0.108,0
Galium_album,A06,0.01,0.028,1
Geranium_pratense,A06,0.07,0.14,0
Leontodon_hispidus,A06,0.02,0.032,1
Leucanthemum_vulgare,A06,0.03,0.064,0
