name,family,abb,n,f,r,sla,height,seedmass,pres,abs,presRatio
Achillea_millefolium,Asteraceae,Achimille,5,4,na,19.48,0.4,0.14,34,1,0.97
Agrostis_capillaris,Poaceae,Agrocapi,4,na,4,28.53,0.25,0.06,24,4,0.86
Alopecurus_pratensis,Poaceae,Alopprat,7,6,6,23.7,0.45,0.67,15,11,0.58
Anthoxanthum_odoratum,Poaceae,Anthodor,na,na,5,30.03,0.17,0.63,6,23,0.21
Briza_media,Poaceae,Brizmedi,2,na,na,21.1,0.17,0.38,26,3,0.9
Bromus_erectus,Poaceae,Bromerec,3,3,8,17.14,0.5,4.81,32,4,0.89
Bromus_hordeaceus,Poaceae,Bromhord,3,na,na,26.49,0.17,2.44,27,0,1
Campanula_glomerata,Campanulaceae,Campglom,4,5,8,24.2,0.12,0.13,37,4,0.9
Campanula_patula,Campanulaceae,Camppatu,5,5,7,34.89,0.23,0.03,27,6,0.82
Campanula_rotundifolia,Campanulaceae,Camprotu,2,na,na,22.7,0.19,0.07,29,8,0.78
Cardamine_pratensis,Brassicaceae,Cardprat,na,6,na,18.2,0.25,0.6,35,6,0.85
Crepis_biennis,Asteraceae,Crepbien,5,6,6,29.9,0.58,1.23,21,11,0.66
Cynosurus_cristatus,Poaceae,Cynocris,4,5,na,22.7,0.49,0.56,31,4,0.89
Daucus_carota,Apiaceae,Dauccaro,4,4,na,18.73,0.41,1.09,27,3,0.9
Festuca_rubra,Poaceae,Festrubr,na,6,6,17.09,0.45,0.79,29,1,0.97
Galium_album,Rubiaceae,Galialbu,5,5,6,24.09,0.88,0.53,8,26,0.24
Geranium_pratense,Geraniaceae,Geraprat,7,5,8,21.35,0.38,8.19,19,14,0.58
Helictotrichon_pubescens,Poaceae,Helipube,4,3,na,23.2,0.33,1.96,22,7,0.76
Hypochaeris_radicata,Asteraceae,Hyporadi,3,5,4,43.33,0.04,0.8,16,16,0.5
Leontodon_hispidus,Asteraceae,Leonhisp,6,5,7,24.64,0.24,0.99,27,8,0.77
Leucanthemum_vulgare,Asteraceae,Leucvulg,3,4,na,17.99,0.36,0.41,33,4,0.89
Luzula_campestris,Juncaceae,Luzucamp,3,4,3,24.21,0.27,0.69,0,36,0
Medicago_lupulina,Fabaceae,Medilupu,na,4,8,27.9,0.33,1.84,52,3,0.95
Onobrychis_viciifolia,Fabaceae,Onobvici,3,3,8,18.2,0.35,19.79,28,26,0.52
Phleum_pratense,Poaceae,Phleprat,7,5,na,24.4,0.37,0.47,30,1,0.97
Plantago_lanceolata,Plantaginaceae,Planlanc,na,na,na,19,0.15,1.81,29,3,0.91
Plantago_media,Plantaginaceae,Planmedi,3,4,7,19.55,0.05,0.39,23,3,0.88
Poa_angustifolia,Poaceae,Poaangu,3,na,na,15.55,0.36,0.21,26,2,0.93
Primula_veris,Primulaceae,Primveri,3,4,8,17.45,0.1,0.82,29,3,0.91
Prunella_vulgaris,Lamiaceae,Prunvulg,5,5,7,31,0.15,0.67,22,20,0.52
Ranunculus_spec,Ranunculaceae,Ranuspec,na,na,na,na,na,na,na,na,na
Saxifraga_granulata,Saxifragaceae,Saxigran,3,4,5,30.8,0.1,0.03,0,32,0
Silene_dioica,Caryophyllaceae,Siledioi,8,6,7,37.72,0.59,0.78,38,5,0.88
Silene_flos-cuculi,Caryophyllaceae,Sileflos,na,7,na,25,0.53,0.19,25,7,0.78
Thymus_pulegioides,Lamiaceae,Thympule,1,4,na,26.56,0.2,0.15,30,4,0.88
Tragopogon_pratensis,Asteraceae,Tragprat,6,4,7,18.2,0.35,10.38,14,19,0.42
Trisetum_flavescens,Poaceae,Trisflav,5,na,na,20.8,0.55,0.25,30,2,0.94
Veronica_chamaedrys,Scrophulariaceae,Verocham,na,5,na,30.51,0.25,0.22,27,7,0.79
Vicia_cracca,Fabaceae,Vicicrac,na,6,na,25.21,0.75,14.29,13,37,0.26
Vicia_sepium,Fabaceae,Vicisepi,5,5,6,37.5,0.45,21.99,3,54,0.05
Ranunculus_acris,Ranunculaceae,Ranuacri,na,6,na,22.5,0.26,1.79,10,20,0.33
Ranunculus_bulbosus,Ranunculaceae,Ranubulb,3,3,7,18.1,0.18,2.23,9,29,0.24
