name	plot	weight	weightRatio	presence
Alopecurus_pratensis	X1	0.02	0.05	1
Campanula_rotundifolia	X1	0.02	0.04	1
Cynosurus_cristatus	X1	0.05	0.10	1
Daucus_carota	X1	0.002	0.01	0
Festuca_rubra	X1	0.02	0.04	1
Galium_album	X1	0.002	0.01	1
Geranium_pratense	X1	0.05	0.11	1
Onobrychis_viciifolia	X1	0.04	0.08	1
Phleum_pratense	X1	0.06	0.12	1
Plantago_media	X1	0.01	0.03	1
Primula_veris	X1	0.07	0.14	1
Ranunculus_acris	X1	0.002	0.01	0
Ranunculus_bulbosus	X1	0.01	0.02	0
Saxifraga_granulata	X1	0.002	0.01	0
Silene_dioica	X1	0.02	0.04	1
Tragopogon_pratensis	X1	0.01	0.02	1
Trisetum_flavescens	X1	0.07	0.14	1
Veronica_chamaedrys	X1	0.01	0.02	1
Vicia_cracca	X1	0.002	0.01	0
Vicia_sepium	X1	0.002	0.01	0
Achillea_millefolium	X2	0.01	0.03	1
Agrostis_capillaris	X2	0.02	0.04	1
Briza_media	X2	0.04	0.07	1
Bromus_erectus	X2	0.08	0.18	1
Campanula_glomerata	X2	0.04	0.08	1
Campanula_rotundifolia	X2	0.02	0.04	1
Cynosurus_cristatus	X2	0.04	0.07	1
Galium_album	X2	0.01	0.02	0
Geranium_pratense	X2	0.03	0.06	1
Medicago_lupulina	X2	0.02	0.05	1
Plantago_lanceolata	X2	0.01	0.03	1
Plantago_media	X2	0.02	0.03	1
Poa_angustifolia	X2	0.04	0.08	1
Prunella_vulgaris	X2	0.01	0.03	0
Ranunculus_acris	X2	0.01	0.03	0
Ranunculus_bulbosus	X2	0.02	0.03	0
Silene_dioica	X2	0.02	0.03	1
Tragopogon_pratensis	X2	0.02	0.04	1
Vicia_cracca	X2	0.01	0.03	0
Vicia_sepium	X2	0.01	0.02	0
Achillea_millefolium	X3	0.02	0.04	1
Bromus_erectus	X3	0.07	0.14	1
Bromus_hordeaceus	X3	0.03	0.06	1
Campanula_glomerata	X3	0.04	0.09	1
Geranium_pratense	X3	0.02	0.05	0
Helictotrichon_pubescens	X3	0.03	0.06	0
Hypochaeris_radicata	X3	0.01	0.02	0
Leontodon_hispidus	X3	0.01	0.03	1
Leucanthemum_vulgare	X3	0.01	0.03	1
Luzula_campestris	X3	0.01	0.01	0
Medicago_lupulina	X3	0.02	0.04	1
Onobrychis_viciifolia	X3	0.02	0.04	0
Phleum_pratense	X3	0.04	0.07	1
Plantago_lanceolata	X3	0.01	0.03	1
Poa_angustifolia	X3	0.05	0.11	1
Primula_veris	X3	0.03	0.06	1
Ranunculus_bulbosus	X3	0.01	0.03	0
Saxifraga_granulata	X3	0.02	0.04	0
Silene_dioica	X3	0.01	0.03	1
Vicia_sepium	X3	0.01	0.02	0
Achillea_millefolium	X4	0.002	0.00	1
Alopecurus_pratensis	X4	0.01	0.03	1
Campanula_glomerata	X4	0.09	0.18	1
Crepis_biennis	X4	0.002	0.00	0
Daucus_carota	X4	0.01	0.01	1
Festuca_rubra	X4	0.02	0.03	1
