grainSize	substrate_7	substrate_8	substrate_9	substrate_10	substrate_11	substrate_12	substrate_13	substrate_14	substrate_15	substrate_16	substrate_17	substrate_18
0.002	9.2	14.4	10.2	13.4	9.0	12.5	1.8	2.0	4.6	5.4	7.9	10.6
0.063	24.7	39.3	25.8	35.8	24.1	32.3	4.4	4.6	9.3	9.1	14.1	19.6
0.2	6.9	9.1	7.5	10.2	8.1	11.5	11.8	14.1	9.6	13.0	9.1	11.4
0.63	15.1	17.4	20.4	23.6	17.8	27.2	41.7	52.1	28.6	44.3	22.2	26.1
2	3.6	5.8	4.7	5.7	4.1	4.1	8.4	9.8	7.6	7.4	7.0	7.7
4	4.4	5.3	4.8	5.2	6.1	5.8	8.9	8.7	10.1	7.6	8.1	7.8
8	4.8	1.9	5.3	3.0	6.7	3.7	6.0	2.1	7.4	4.9	8.7	9.0
16	26.5	5.3	16.2	2.1	14.5	2.9	15.2	5.6	19.6	7.1	17.4	7.2
25	4.8	1.5	5.1	1.0	9.6	0	1.8	1.0	3.2	1.2	5.5	0.6
31.5	0	0	0	0	0	0	0	0	0	0	0	0
