"","term","statistic","df","p.value"
"1","(Intercept)",457.399670748585,1,1.76917694451891e-101
"2","brickRatio",2.82803696580987,1,0.0926315230281127
"3","acid",0.260649542496966,1,0.609674261254032
"4","f.watering",3.20065777776467,3,0.36171026336912
"5","seedmix",1.63200811087159,3,0.652154168341717
"6","brickRatio:acid",8.82621382540224,1,0.00296933815383843
"7","brickRatio:f.watering",7.10958200904744,3,0.0684858368662735
"8","brickRatio:seedmix",3.15688708218598,3,0.368063044986074
"9","f.watering:seedmix",25.6983587159701,9,0.00228840824132085
"10","acid:seedmix",2.01381077236509,3,0.569545181059199
"11","brickRatio:acid:seedmix",12.1550807993995,3,0.00687036666008823
