"","term","sumsq","df","statistic","p.value"
"1","(Intercept)",28.3483766091217,1,177.782069678424,1.86816886492692e-19
"2","brickRatio",0.0388432736269895,1,0.243599048852395,0.6234510056894
"3","texture",0.0751852125087353,2,0.235755699053224,0.790714239291417
"4","compaction",3.30454399761312,1,20.723891153966,2.70478292821722e-05
"5","coal",0.00199054429826084,1,0.0124833633336707,0.91141755383688
"6","brickRatio:texture",0.0465706765740777,2,0.146030077521263,0.864443070204591
"7","brickRatio:compaction",0.621863802213984,1,3.89991410584415,0.0529740432259224
"8","texture:compaction",1.88683172674791,2,5.91647370396901,0.00455189877988735
"9","brickRatio:texture:compaction",0.227808980455912,2,0.714332827505752,0.493702934959505
"10","Residuals",9.40789036241692,59,NA,NA
